"Stationsname","Stationsnummer","Parameter","Zeitreihe","Parametereinheit","Gewässer","Zeitstempel","Zeitpunkt_des_Auftretens","Wert","Freigabestatus"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-27 00:00:00","2000-02-27 02:13:55",325.871,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-28 00:00:00","2000-02-28 11:54:10",325.823,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-29 00:00:00","2000-03-01 00:00:00",325.945,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-01 00:00:00","2000-03-01 23:24:00",326.363,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-02 00:00:00","2000-03-02 02:44:05",326.371,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-03 00:00:00","2000-03-03 15:53:15",326.149,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-04 00:00:00","2000-03-04 19:33:35",326.2,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-05 00:00:00","2000-03-05 01:23:30",326.138,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-06 00:00:00","2000-03-06 00:12:55",326.033,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-07 00:00:00","2000-03-07 01:33:35",325.937,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-08 00:00:00","2000-03-08 04:13:25",325.83,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-09 00:00:00","2000-03-09 13:23:30",325.87,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-10 00:00:00","2000-03-10 22:03:20",325.909,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-11 00:00:00","2000-03-11 15:12:55",325.909,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-12 00:00:00","2000-03-12 13:03:20",325.848,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-13 00:00:00","2000-03-13 10:53:45",325.839,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-14 00:00:00","2000-03-14 22:53:45",325.871,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-15 00:00:00","2000-03-15 12:53:15",326.143,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-16 00:00:00","2000-03-16 20:13:55",326.05,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-17 00:00:00","2000-03-17 01:33:35",326.02,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-18 00:00:00","2000-03-18 16:23:30",326.049,"Freigegeben, validierte Daten"
